20,2,65
3,2,61
7,4,81
16,5,72
19,5,48
10,2,78
4,5,73
12,1,67
18,3,88
13,1,72
19,3,75
11,1,36
12,4,63
7,1,76
17,4,79
3,1,92
1,1,97
19,4,83
18,5,79
16,4,73
2,4,62
4,5,82
18,2,11
4,4,88
12,2,87
20,2,12
9,2,78
1,1,80
2,1,89
2,1,86
2,1,91
12,1,83
10,2,95
8,1,14
8,1,84
11,5,79
4,2,60
8,3,100
4,4,26
12,2,7
16,4,61
6,1,67
18,5,61
12,5,79
11,2,90
15,2,39
8,5,28
10,5,84
5,1,70
17,1,26
13,4,85
7,2,78
11,5,52
10,2,75
2,2,61
15,3,72
16,2,61
15,5,68
12,1,83
18,4,71
8,4,89
2,4,76
20,5,45
14,5,74
18,3,68
12,1,77
3,2,73
20,4,61
15,4,68
3,3,61
4,2,10
19,5,86
19,4,74
18,3,63
16,5,78
16,3,20
17,4,67
2,5,68
11,5,73
11,1,71
11,1,72
14,1,73
1,4,66
1,2,66
20,5,69
2,2,66
16,3,79
8,4,63
9,2,81
1,4,72
4,4,87
11,2,51
19,3,89
17,2,38
11,2,72
13,1,57
20,5,79
14,1,78
4,4,73
12,4,64
20,4,67
4,3,60
2,1,67
9,5,81
2,4,81
14,3,48
4,3,81
10,4,99
13,1,89
2,1,66
14,1,62
4,3,84
10,1,83
11,2,62
3,2,74
19,2,83
9,2,65
2,1,91
7,1,61
18,2,66
15,4,84
19,3,86
16,3,60
9,5,82
9,3,77
4,1,92
11,3,80
17,2,81
19,2,74
8,4,69
7,2,82
1,3,79
9,5,63
19,5,86
2,4,74
10,2,16
14,5,77
4,1,60
7,3,74
1,4,9
13,1,84
9,5,71
9,1,84
8,3,65
10,2,69
16,3,63
6,2,87
20,3,71
20,5,87
14,3,93
20,1,74
8,1,95
12,2,83
9,4,88
11,1,93
14,3,88
1,2,63
9,3,67
19,2,88
19,1,88
2,3,67
15,1,60
14,5,25
11,5,93
10,3,87
9,1,82
2,1,60
5,2,62
12,2,62
9,1,84
17,2,84
15,1,90
5,3,37
17,4,73
5,2,85
14,4,32
16,2,68
20,3,95
4,3,88
6,5,82
9,1,66
7,3,87
14,3,71
18,5,76
5,5,72
12,4,2
11,4,78
10,2,68
5,3,63
17,2,85
18,4,78
18,1,60
14,4,73
11,4,70
3,4,98
6,3,18
12,2,87
14,3,79
18,4,94
10,5,80
11,3,73
15,4,96
14,1,93
7,4,70
3,4,83
4,1,65
6,4,63
19,5,68
8,5,71
3,4,97
16,5,78
13,4,61
15,1,78
18,2,79
9,5,54
10,2,74
3,3,84
15,5,63
10,2,84
1,1,69
15,2,70
3,2,48
20,2,87
10,1,77
11,1,84
10,2,14
18,4,80
4,4,79
12,4,44
9,5,89
5,3,85
16,5,79
16,1,82
16,2,70
9,2,70
8,5,57
11,4,89
7,5,60
19,2,80
15,2,68
10,2,71
8,5,74
14,3,61
1,3,19
1,5,94
6,3,46
16,5,74
18,4,89
1,4,82
6,3,76
6,4,72
19,1,71
9,4,73
7,3,67
4,2,82
13,1,20
17,2,83
17,4,87
7,2,56
1,1,79
17,1,23
11,3,69
5,5,61
3,3,75
15,1,89
5,3,83
11,1,72
6,1,67
9,1,90
2,2,77
2,1,74
17,2,71
4,3,47
7,1,86
20,3,80
17,5,82
13,5,66
19,2,73
9,2,77
10,4,89
7,5,9
17,4,80
17,4,64
19,4,69
9,5,71
4,1,69
2,2,68
7,1,53
12,5,64
8,1,78
1,3,74
3,4,64
7,5,100
1,4,85
5,3,90
12,2,68
14,5,1
1,1,90
17,4,80
